wall_s,objective,bound
0.0145149,4290638.0,2975890.0
0.0541309,4287570.0,4244490.0
0.0707064,4287556.0,4244668.0
0.07387880000000001,4287538.0,4244832.0
0.076286,4287520.0,4244832.0
0.0790899,4287502.0,4244832.0
0.08207120000000001,4287484.0,4244832.0
0.0845424,4287466.0,4244832.0
0.0870535,4287448.0,4244832.0
0.08935140000000001,4287430.0,4244832.0
0.0929206,4287412.0,4244832.0
0.0954909,4287394.0,4244832.0
0.09785930000000001,4287376.0,4244832.0
0.1003489,4287358.0,4244998.0
0.1026267,4287340.0,4244998.0
0.10485950000000001,4287322.0,4244998.0
0.10700390000000001,4287304.0,4244998.0
0.10934260000000001,4286080.0,4245006.0
0.1251594,4285330.0,4245006.0
0.1281133,4285312.0,4245020.0
0.1310298,4285294.0,4245020.0
0.134748,4285276.0,4245020.0
0.1369341,4285258.0,4245102.0
0.1389687,4285240.0,4245102.0
0.14130420000000002,4285222.0,4245184.0
0.1437485,4285204.0,4245184.0
0.14612730000000002,4284178.0,4245184.0
0.45517890000000005,4281428.0,4245288.0
0.4581636,4281400.0,4245288.0
0.46279390000000004,4281382.0,4245288.0
