objective,feasible,sorties,energy_kwh,total_operation_s,flight_s,A,B,C
lex,True,18,59.131296022055295,32776.015748916165,19288.01574891617,0,9,9
energy,True,19,59.033942092204754,34439.97740715136,20561.977407151368,0,11,8
time,True,18,59.131296022055295,32776.015748916165,19288.01574891617,0,9,9
"weighted_(1, 0.1, 0.1)",True,18,59.131296022055295,32776.015748916165,19288.01574891617,0,9,9
"weighted_(1, 1, 1)",True,18,59.131296022055295,32776.015748916165,19288.01574891617,0,9,9
"weighted_(0.2, 1, 0.2)",True,18,59.131296022055295,32776.015748916165,19288.01574891617,0,9,9
"weighted_(0.2, 0.2, 1)",True,18,59.131296022055295,32776.015748916165,19288.01574891617,0,9,9
"weighted_(0.05, 1, 2)",True,18,59.131296022055295,32776.015748916165,19288.01574891617,0,9,9
