reserve,feasible,sorties,energy_kwh,total_operation_s,flight_s,A,B,C
0.1,True,18.0,59.131296022055295,32776.015748916165,19288.01574891617,0.0,9.0,9.0
0.15,True,18.0,59.131296022055295,32776.015748916165,19288.01574891617,0.0,9.0,9.0
0.2,True,18.0,59.131296022055295,32776.015748916165,19288.01574891617,0.0,9.0,9.0
0.25,True,19.0,61.07338737609085,34565.659385979445,20639.659385979445,0.0,10.0,9.0
0.3,True,20.0,67.22758968352723,36586.176952417765,22126.17695241777,0.0,9.0,11.0
0.35,True,25.0,75.60758952635233,45383.56353392607,28745.563533926063,0.0,15.0,10.0
0.4,False,,,,,,,
