wall_s,objective,bound
11.8285987,53033898.0,1604768.0
12.422379800000002,53032260.0,1904516.0
12.458032000000001,31395738.0,1951324.0
14.01581,30173160.0,1951324.0
14.583332100000002,30169152.0,1981216.0
14.595562300000001,29768352.0,1981216.0
14.7796441,24712480.0,2004822.0
15.982370600000001,21402060.0,2033300.0
16.3481825,8072460.0,2033300.0
17.4334654,8038554.0,2033300.0
18.8862953,7917232.0,2033300.0
18.904565700000003,4587232.0,2033300.0
19.5856126,4566612.0,2033300.0
19.9801545,4500052.0,2033300.0
20.893396300000003,4489682.0,2033300.0
23.888483400000002,4462208.0,2033300.0
24.210267400000003,4448610.0,2033300.0
24.4846481,4444870.0,2033300.0
24.640612,4444038.0,2033300.0
25.363057400000002,4437550.0,2033300.0
29.245839,4435708.0,2033300.0
29.6059327,4426830.0,2033300.0
30.384860300000003,4426506.0,2033300.0
32.696688200000004,4354970.0,2033300.0
33.4445016,4348030.0,2033300.0
37.475054300000004,4346138.0,2033300.0
38.5207417,4342234.0,2033300.0
45.2002487,4342046.0,2079852.0
50.6723049,4338268.0,2079852.0
50.939303300000006,4334968.0,2079852.0
