sortie,model,origin,destination,load_kg,start_s,end_s,energy_kwh,distance,cruise_z,climb,descent,cells,dem_max
Q2-001,A,O01,S003,17,360.0,1199.2879727143438,1.6154500999355985,7263.1792565565,561.8041381835938,434.10413818359376,223.30413818359375,340,511.80413818359375
Q2-001,A,S003,O01,0,1409.2879727143438,2262.629278762021,1.366532355567004,7263.1792565565,561.8041381835938,223.30413818359375,434.10413818359376,340,511.80413818359375
Q2-002,A,O01,S009,17,360.0,915.8966159156646,1.211145535807087,5705.144962277037,293.2289123535156,165.52891235351564,63.228912353515625,255,243.22891235351562
Q2-002,A,S009,O01,0,1125.8966159156646,1688.6132318313291,1.043677364086857,5705.144962277037,293.2289123535156,63.228912353515625,165.52891235351564,255,243.22891235351562
Q2-003,A,O01,S011,11,360.0,683.198139995606,0.5881858204089017,2808.074232681646,295.36175537109375,167.66175537109376,83.26175537109376,125,245.36175537109375
Q2-003,A,S011,O01,0,893.198139995606,1222.0229466578785,0.5275119449896909,2808.074232681646,295.36175537109375,83.26175537109376,167.66175537109376,125,245.36175537109375
Q2-004,A,O01,S014,17,360.0,1062.7615724943244,1.2516147790067202,5419.60185821314,591.9473876953125,464.2473876953125,240.9473876953125,205,541.9473876953125
Q2-004,A,S014,O01,0,1272.7615724943244,1990.4098116553153,1.0393626597601442,5419.60185821314,591.9473876953125,240.9473876953125,464.2473876953125,205,541.9473876953125
Q2-005,B,O01,S010,25,390.0,845.2264495822316,1.1190228622135616,4784.49485164363,435.63653564453125,307.93653564453126,84.03653564453123,205,385.63653564453125
Q2-005,B,S010,O01,0,1085.2264495822315,1555.3795658311296,0.7041728358761263,4784.49485164363,435.63653564453125,84.03653564453123,307.93653564453126,205,385.63653564453125
Q2-006,B,O01,S013,25,390.0,822.7694958843779,1.1203295029224047,4849.242377230511,399.18182373046875,271.48182373046876,47.48182373046876,230,349.18182373046875
Q2-006,B,S013,O01,0,1062.7694958843779,1510.4723251020891,0.7044297694055125,4849.242377230511,399.18182373046875,47.48182373046876,271.48182373046876,230,349.18182373046875
Q2-007,C,O01,S001,76,570.0,876.2695386645796,1.954336397837541,3053.9788435184996,273.0566101074219,145.3566101074219,89.05661010742188,138,223.05661010742188
