wall_s,objective,bound
32.6475175,26323320.0,620540.0
32.8172568,26322030.0,620540.0
33.5270381,26321958.0,620540.0
33.9938863,26320958.0,620540.0
35.5714599,26303734.0,1577468.0
35.8306952,24278064.0,1577468.0
38.9303335,20754204.0,1577468.0
39.887952500000004,4334968.0,1577468.0
50.426677600000005,4307880.0,1883102.0
53.457140100000004,4296254.0,1902844.0
54.140368300000006,4290638.0,1902844.0
