sortie,time_s,mode,relay,lon,lat,altitude_m
Q2-001,360.0,direct,,109.2308517,23.0085095,127.7
Q2-001,360.9991523634252,direct,,109.2308517,23.0085095,130.69745709027558
Q2-001,361.99830472685045,direct,,109.2308517,23.0085095,133.69491418055134
Q2-001,362.9974570902757,direct,,109.2308517,23.0085095,136.6923712708271
Q2-001,363.9966094537009,direct,,109.2308517,23.0085095,139.68982836110268
Q2-001,364.9957618171261,direct,,109.2308517,23.0085095,142.68728545137827
Q2-001,365.99491418055135,direct,,109.2308517,23.0085095,145.68474254165403
Q2-001,366.9940665439766,direct,,109.2308517,23.0085095,148.6821996319298
Q2-001,367.9932189074018,direct,,109.2308517,23.0085095,151.67965672220538
Q2-001,368.992371270827,direct,,109.2308517,23.0085095,154.67711381248097
Q2-001,369.99152363425225,direct,,109.2308517,23.0085095,157.67457090275673
Q2-001,370.9906759976775,direct,,109.2308517,23.0085095,160.6720279930325
Q2-001,371.9898283611027,direct,,109.2308517,23.0085095,163.66948508330807
Q2-001,372.9889807245279,direct,,109.2308517,23.0085095,166.66694217358366
Q2-001,373.98813308795314,direct,,109.2308517,23.0085095,169.66439926385942
Q2-001,374.9872854513784,direct,,109.2308517,23.0085095,172.66185635413518
Q2-001,375.9864378148036,direct,,109.2308517,23.0085095,175.65931344441077
Q2-001,376.9855901782288,direct,,109.2308517,23.0085095,178.65677053468636
Q2-001,377.98474254165404,direct,,109.2308517,23.0085095,181.65422762496212
Q2-001,378.9838949050793,direct,,109.2308517,23.0085095,184.65168471523788
Q2-001,379.9830472685045,direct,,109.2308517,23.0085095,187.64914180551347
Q2-001,380.98219963192975,direct,,109.2308517,23.0085095,190.64659889578923
Q2-001,381.98135199535494,direct,,109.2308517,23.0085095,193.6440559860648
Q2-001,382.9805043587802,direct,,109.2308517,23.0085095,196.64151307634057
Q2-001,383.9796567222054,direct,,109.2308517,23.0085095,199.63897016661616
Q2-001,384.9788090856306,direct,,109.2308517,23.0085095,202.63642725689175
Q2-001,385.97796144905584,direct,,109.2308517,23.0085095,205.6338843471675
Q2-001,386.97711381248104,direct,,109.2308517,23.0085095,208.6313414374431
Q2-001,387.9762661759063,direct,,109.2308517,23.0085095,211.62879852771886
Q2-001,388.9754185393315,direct,,109.2308517,23.0085095,214.62625561799445
Q2-001,389.97457090275674,direct,,109.2308517,23.0085095,217.6237127082702
Q2-001,390.973723266182,direct,,109.2308517,23.0085095,220.62116979854596
Q2-001,391.9728756296072,direct,,109.2308517,23.0085095,223.61862688882155
Q2-001,392.9720279930324,direct,,109.2308517,23.0085095,226.61608397909714
Q2-001,393.97118035645764,direct,,109.2308517,23.0085095,229.6135410693729
Q2-001,394.9703327198829,direct,,109.2308517,23.0085095,232.61099815964866
Q2-001,395.9694850833081,direct,,109.2308517,23.0085095,235.60845524992425
Q2-001,396.9686374467333,direct,,109.2308517,23.0085095,238.60591234019984
Q2-001,397.96778981015854,direct,,109.2308517,23.0085095,241.6033694304756
Q2-001,398.9669421735838,direct,,109.2308517,23.0085095,244.60082652075135
Q2-001,399.966094537009,direct,,109.2308517,23.0085095,247.59828361102694
Q2-001,400.9652469004342,direct,,109.2308517,23.0085095,250.59574070130253
Q2-001,401.96439926385943,direct,,109.2308517,23.0085095,253.5931977915783
Q2-001,402.9635516272847,direct,,109.2308517,23.0085095,256.59065488185405
Q2-001,403.9627039907099,direct,,109.2308517,23.0085095,259.58811197212964
