relay,component,site,launch_s,service_start_s,service_end_s,return_s,energy_kwh,return_soc
R01,RE01,LS015-0.75,149.3959297999927,827.5931344441078,7169.952716167788,7694.057679906142,2.1987492111686406,0.3128908715097999
R02,RE02,S010-H50,117.14739396637401,732.0841355426182,1484.1083088153732,1917.7018558115394,0.4733210415146184,0.8520871745266818
R02,RE03,NS013,2217.7018558115396,2887.432043342814,3786.7142085062205,4283.622988465067,0.5460852700017419,0.8293483531244557
R02,RE02,LS004-0.75,4583.622988465067,5305.0702677222225,6143.616870260192,6696.96836348626,0.5565548318943836,0.8260766150330051
R02,RE04,S010-H50,7008.755883851383,7623.692625427628,8266.03715325803,8699.630700254196,0.439807816518344,0.8625600573380175
