sortie,time_s,progress_pct,direct_available,lon,lat,altitude_m
Q2-009,1583.0,0.0,1,109.2308517,23.0085095,127.7
Q2-009,1602.8534506932724,0.9856133045036884,1,109.2308517,23.0085095,187.2603520798172
Q2-009,1622.7069013865446,1.9712266090073656,1,109.2308517,23.0085095,246.82070415963375
Q2-009,1642.560352079817,2.956839913511054,1,109.23106646939667,23.008940956813582,293.2289123535156
Q2-009,1662.4138027730894,3.9424532180147422,1,109.23203906679159,23.010894837484827,293.2289123535156
Q2-009,1682.2672534663616,4.92806652251842,1,109.23301166418649,23.01284871815607,293.2289123535156
Q2-009,1702.120704159634,5.913679827022108,1,109.23398426158141,23.014802598827316,293.2289123535156
Q2-009,1721.9741548529064,6.899293131525797,1,109.23495685897633,23.01675647949856,293.2289123535156
Q2-009,1741.8276055461786,7.884906436029473,1,109.23592945637125,23.018710360169806,293.2289123535156
Q2-009,1761.681056239451,8.870519740533162,1,109.23690205376617,23.020664240841054,293.2289123535156
Q2-009,1781.5345069327232,9.85613304503684,1,109.23787465116109,23.0226181215123,293.2289123535156
Q2-009,1801.3879576259956,10.841746349540527,1,109.23884724855601,23.024572002183543,293.2289123535156
Q2-009,1821.241408319268,11.827359654044216,1,109.23981984595092,23.026525882854788,293.2289123535156
Q2-009,1841.0948590125404,12.812972958547904,1,109.24079244334584,23.028479763526033,293.2289123535156
Q2-009,1860.9483097058126,13.798586263051583,1,109.24176504074076,23.030433644197277,293.2289123535156
Q2-009,1880.8017603990847,14.784199567555259,1,109.24273763813568,23.032387524868525,293.2289123535156
Q2-009,1900.6552110923571,15.769812872058946,1,109.2437102355306,23.03434140553977,293.2289123535156
Q2-009,1920.5086617856296,16.755426176562633,1,109.24468283292552,23.036295286211015,293.2289123535156
Q2-009,1940.362112478902,17.741039481066323,1,109.24565543032044,23.03824916688226,293.2289123535156
Q2-009,1960.2155631721741,18.72665278557,1,109.24662802771535,23.040203047553504,293.2289123535156
Q2-009,1980.0690138654465,19.71226609007369,0,109.24760062511027,23.042156928224752,293.2289123535156
Q2-009,1999.9224645587187,20.697879394577367,0,109.24857322250519,23.044110808895997,293.2289123535156
Q2-009,2019.7759152519911,21.683492699081054,0,109.2495458199001,23.046064689567242,293.2289123535156
Q2-009,2039.6293659452635,22.669106003584744,0,109.25051841729503,23.048018570238487,293.2289123535156
Q2-009,2059.482816638536,23.65471930808843,0,109.25149101468995,23.04997245090973,293.2289123535156
Q2-009,2079.3362673318084,24.64033261259212,0,109.25246361208487,23.051926331580976,293.2289123535156
Q2-009,2099.1897180250808,25.62594591709581,0,109.25343620947977,23.053880212252224,293.2289123535156
Q2-009,2119.0431687183527,26.61155922159947,0,109.2541424,23.0552989,279.63362673318113
Q2-009,2138.896619411625,27.597172526103165,0,109.2541424,23.0552989,230.00000000000014
Q2-009,2158.896619411625,28.59006118785875,0,109.2541424,23.0552989,230.0
Q2-009,2178.896619411625,29.582949849614337,0,109.2541424,23.0552989,230.0
Q2-009,2198.896619411625,30.575838511369923,0,109.2541424,23.0552989,230.0
Q2-009,2218.896619411625,31.56872717312551,0,109.2541424,23.0552989,230.0
Q2-009,2238.896619411625,32.561615834881096,0,109.2541424,23.0552989,230.0
Q2-009,2258.896619411625,33.55450449663668,0,109.2541424,23.0552989,230.0
Q2-009,2278.896619411625,34.547393158392275,0,109.2541424,23.0552989,230.0
Q2-009,2298.896619411625,35.54028182014786,0,109.2541424,23.0552989,230.0
Q2-009,2318.896619411625,36.53317048190345,0,109.2541424,23.0552989,230.0
Q2-009,2337.9444354089082,37.4787885086489,0,109.2541424,23.0552989,287.14344799184937
Q2-009,2356.9922514061914,38.424406535394354,0,109.2541424,23.0552989,344.28689598369874
Q2-009,2376.040067403475,39.37002456213983,0,109.25572283387295,23.055253389339242,360.91961669921875
Q2-009,2395.087883400758,40.31564258888529,0,109.25795215550934,23.05518919310652,360.91961669921875
Q2-009,2414.135699398041,41.26126061563074,0,109.26018147714575,23.055124996873797,360.91961669921875
Q2-009,2433.1835153953243,42.206878642376196,0,109.26241079878214,23.055060800641073,360.91961669921875
Q2-009,2452.231331392608,43.15249666912167,0,109.26464012041853,23.05499660440835,360.91961669921875
Q2-009,2471.279147389891,44.09811469586713,0,109.26686944205494,23.054932408175624,360.91961669921875
Q2-009,2490.326963387174,45.04373272261259,0,109.26909876369133,23.0548682119429,360.91961669921875
Q2-009,2509.3747793844573,45.98935074935804,0,109.27132808532772,23.05480401571018,360.91961669921875
Q2-009,2528.422595381741,46.93496877610352,0,109.27355740696412,23.054739819477454,360.91961669921875
Q2-009,2547.470411379024,47.880586802848974,0,109.27578672860052,23.05467562324473,360.91961669921875
Q2-009,2566.518227376307,48.826204829594424,0,109.27801605023691,23.054611427012006,360.91961669921875
Q2-009,2585.56604337359,49.77182285633988,0,109.2802453718733,23.05454723077928,360.91961669921875
Q2-009,2604.613859370874,50.71744088308536,0,109.28247469350971,23.054483034546557,360.91961669921875
Q2-009,2623.661675368157,51.66305890983081,0,109.2831357,23.054464,327.4195399932072
Q2-009,2642.70949136544,52.608676936576266,0,109.2831357,23.054464,279.8
Q2-009,2662.70949136544,53.60156559833186,0,109.2831357,23.054464,279.8
Q2-009,2682.70949136544,54.594454260087446,0,109.2831357,23.054464,279.8
Q2-009,2702.70949136544,55.58734292184303,0,109.2831357,23.054464,279.8
Q2-009,2722.70949136544,56.58023158359862,0,109.2831357,23.054464,279.8
Q2-009,2742.70949136544,57.573120245354204,0,109.2831357,23.054464,279.8
Q2-009,2762.70949136544,58.56600890710979,0,109.2831357,23.054464,279.8
Q2-009,2782.70949136544,59.558897568865376,0,109.2831357,23.054464,279.8
Q2-009,2802.70949136544,60.55178623062096,0,109.2831357,23.054464,279.8
Q2-009,2822.70949136544,61.54467489237655,0,109.2831357,23.054464,279.8
Q2-009,2842.57141577044,62.53070886949511,0,109.2831357,23.054464,339.38577321500094
Q2-009,2862.4333401754398,63.516742846613646,0,109.2831357,23.054464,398.9715464299998
Q2-009,2882.29526458044,64.5027768237322,0,109.28185503737183,23.053338374364113,413.3009948730469
Q2-009,2902.15718898544,65.48881080085077,0,109.2801688802808,23.05185634341699,413.3009948730469
Q2-009,2922.0191133904395,66.4748447779693,0,109.27848272318978,23.05037431246987,413.3009948730469
Q2-009,2941.8810377954396,67.46087875508785,0,109.27679656609877,23.048892281522747,413.3009948730469
Q2-009,2961.7429622004393,68.4469127322064,0,109.27511040900774,23.047410250575627,413.3009948730469
Q2-009,2981.6048866054393,69.43294670932494,0,109.27342425191672,23.045928219628504,413.3009948730469
Q2-009,3001.4668110104394,70.4189806864435,0,109.2717380948257,23.044446188681384,413.3009948730469
Q2-009,3021.328735415439,71.40501466356204,0,109.27005193773468,23.04296415773426,413.3009948730469
Q2-009,3041.190659820439,72.39104864068061,0,109.26836578064366,23.04148212678714,413.3009948730469
Q2-009,3061.052584225439,73.37708261779916,0,109.26667962355263,23.040000095840018,413.3009948730469
Q2-009,3080.914508630439,74.3631165949177,0,109.26499346646162,23.038518064892898,413.3009948730469
Q2-009,3100.776433035439,75.34915057203625,0,109.2633073093706,23.037036033945775,413.3009948730469
Q2-009,3120.638357440439,76.3351845491548,0,109.26162115227957,23.035554002998655,413.3009948730469
Q2-009,3140.5002818454386,77.32121852627334,0,109.25993499518856,23.03407197205153,413.3009948730469
Q2-009,3160.3622062504387,78.30725250339191,1,109.25824883809753,23.032589941104412,413.3009948730469
Q2-009,3180.224130655439,79.29328648051046,1,109.25656268100651,23.03110791015729,413.3009948730469
Q2-009,3200.0860550604384,80.279320457629,1,109.2548765239155,23.02962587921017,413.3009948730469
Q2-009,3219.9479794654385,81.26535443474755,1,109.25319036682447,23.02814384826305,413.3009948730469
Q2-009,3239.8099038704386,82.25138841186612,1,109.25150420973345,23.026661817315926,413.3009948730469
Q2-009,3259.671828275438,83.23742238898464,1,109.24981805264244,23.025179786368806,413.3009948730469
Q2-009,3279.5337526804383,84.2234563661032,1,109.24813189555141,23.023697755421683,413.3009948730469
Q2-009,3299.395677085438,85.20949034322174,1,109.2464457384604,23.022215724474563,413.3009948730469
Q2-009,3319.257601490438,86.19552432034031,1,109.24475958136938,23.02073369352744,413.3009948730469
Q2-009,3339.119525895438,87.18155829745885,1,109.24307342427835,23.01925166258032,413.3009948730469
Q2-009,3358.981450300438,88.16759227457742,1,109.24138726718733,23.017769631633197,413.3009948730469
Q2-009,3378.843374705438,89.15362625169595,1,109.2397011100963,23.016287600686077,413.3009948730469
Q2-009,3398.7052991104374,90.13966022881448,1,109.23801495300529,23.014805569738954,413.3009948730469
Q2-009,3418.5672235154375,91.12569420593304,1,109.23632879591428,23.013323538791834,413.3009948730469
Q2-009,3438.4291479204376,92.11172818305161,1,109.23464263882325,23.01184150784471,413.3009948730469
Q2-009,3458.291072325437,93.09776216017015,1,109.23295648173223,23.01035947689759,413.3009948730469
Q2-009,3478.1529967304373,94.08379613728869,1,109.23127032464122,23.008877445950468,413.3009948730469
Q2-009,3498.0149211354374,95.06983011440725,1,109.2308517,23.0085095,375.9740550624988
Q2-009,3517.876845540437,96.05586409152579,1,109.2308517,23.0085095,326.3192440499997
Q2-009,3537.738769945437,97.04189806864434,1,109.2308517,23.0085095,276.6644330374995
Q2-009,3557.600694350437,98.02793204576291,1,109.2308517,23.0085095,227.00962202499932
Q2-009,3577.462618755437,99.01396602288145,1,109.2308517,23.0085095,177.35481101250025
Q2-009,3597.324543160437,100.0,1,109.2308517,23.0085095,127.70000000000005
