sortie,time_s,lon,lat,altitude_m
Q2-001,839.5931344441078,109.1965506125961,23.026083288840745,561.8041381835938
Q2-001,859.5761817126123,109.19450386094988,23.02713191977237,561.8041381835938
Q2-001,879.5592289811168,109.19245710930365,23.028180550703993,561.8041381835938
Q2-001,899.5422762496213,109.19041035765743,23.02922918163562,561.8041381835938
Q2-001,919.5253235181258,109.18836360601121,23.030277812567245,561.8041381835938
Q2-001,939.5083707866303,109.18631685436499,23.03132644349887,561.8041381835938
Q2-001,959.4914180551348,109.18427010271877,23.032375074430497,561.8041381835938
Q2-001,979.4744653236393,109.18222335107255,23.03342370536212,561.8041381835938
Q2-001,999.4575125921438,109.18017659942633,23.034472336293746,561.8041381835938
Q2-001,1019.4405598606482,109.17812984778011,23.035520967225374,561.8041381835938
Q2-001,1039.4236071291527,109.1760830961339,23.036569598156998,561.8041381835938
Q2-001,1059.4066543976573,109.17403634448766,23.037618229088622,561.8041381835938
Q2-001,1079.3897016661617,109.17198959284144,23.03866686002025,561.8041381835938
Q2-001,1099.372748934666,109.16994284119522,23.039715490951874,561.8041381835938
Q2-001,1119.3557962031707,109.1688578,23.0402714,538.3304726850449
Q2-001,1139.3388434716753,109.1688578,23.0402714,488.3728545137834
Q2-001,1159.3218907401797,109.1688578,23.0402714,438.41523634252246
Q2-001,1179.304938008684,109.1688578,23.0402714,388.4576181712615
Q2-001,1199.2879852771887,109.1688578,23.0402714,338.5
Q2-001,1218.3788943680977,109.1688578,23.0402714,338.5
Q2-001,1237.469803459007,109.1688578,23.0402714,338.5
Q2-001,1256.560712549916,109.1688578,23.0402714,338.5
Q2-001,1275.651621640825,109.1688578,23.0402714,338.5
Q2-001,1294.7425307317342,109.1688578,23.0402714,338.5
Q2-001,1313.8334398226432,109.1688578,23.0402714,338.5
Q2-001,1332.9243489135524,109.1688578,23.0402714,338.5
Q2-001,1352.0152580044614,109.1688578,23.0402714,338.5
Q2-001,1371.1061670953704,109.1688578,23.0402714,338.5
Q2-001,1390.1970761862797,109.1688578,23.0402714,338.5
Q2-001,1409.2879852771887,109.1688578,23.0402714,338.5
Q2-001,1429.1331322216195,109.1688578,23.0402714,398.03544083329234
Q2-001,1448.9782791660502,109.1688578,23.0402714,457.5708816665847
Q2-001,1468.823426110481,109.1688578,23.0402714,517.106322499877
Q2-001,1488.6685730549116,109.1693643782893,23.04001186012645,561.8041381835938
Q2-001,1508.5137199993424,109.17139700557743,23.03897046565598,561.8041381835938
Q2-001,1528.3588669437731,109.17342963286556,23.03792907118551,561.8041381835938
Q2-001,1548.204013888204,109.1754622601537,23.036887676715036,561.8041381835938
Q2-001,1568.0491608326347,109.17749488744182,23.035846282244567,561.8041381835938
Q2-001,1587.8943077770655,109.17952751472995,23.034804887774094,561.8041381835938
Q2-001,1607.739454721496,109.1815601420181,23.033763493303624,561.8041381835938
Q2-001,1627.5846016659268,109.18359276930623,23.032722098833155,561.8041381835938
Q2-001,1647.4297486103576,109.18562539659436,23.03168070436268,561.8041381835938
Q2-001,1667.2748955547884,109.18765802388249,23.030639309892212,561.8041381835938
Q2-001,1687.1200424992192,109.18969065117062,23.02959791542174,561.8041381835938
Q2-001,1706.9651894436497,109.19172327845875,23.02855652095127,561.8041381835938
Q2-001,1726.8103363880805,109.19375590574688,23.027515126480797,561.8041381835938
Q2-001,1746.6554833325113,109.19578853303501,23.026473732010327,561.8041381835938
Q2-002,757.0690138654465,109.24760062511027,23.042156928224752,293.2289123535156
Q2-002,776.922464558719,109.24857322250519,23.044110808895997,293.2289123535156
Q2-002,796.7759152519913,109.2495458199001,23.046064689567242,293.2289123535156
Q2-002,816.6293659452635,109.25051841729503,23.048018570238487,293.2289123535156
Q2-002,836.482816638536,109.25149101468995,23.04997245090973,293.2289123535156
Q2-002,856.3362673318082,109.25246361208487,23.051926331580976,293.2289123535156
Q2-002,876.1897180250805,109.25343620947977,23.053880212252224,293.2289123535156
Q2-002,896.043168718353,109.2541424,23.0552989,279.63362673318056
Q2-002,915.8966194116252,109.2541424,23.0552989,230.0
Q2-002,934.9875285025344,109.2541424,23.0552989,230.0
Q2-002,954.0784375934434,109.2541424,23.0552989,230.0
Q2-002,973.1693466843525,109.2541424,23.0552989,230.0
Q2-002,992.2602557752616,109.2541424,23.0552989,230.0
Q2-002,1011.3511648661706,109.2541424,23.0552989,230.0
Q2-002,1030.4420739570796,109.2541424,23.0552989,230.0
Q2-002,1049.5329830479889,109.2541424,23.0552989,230.0
Q2-002,1068.6238921388979,109.2541424,23.0552989,230.0
Q2-002,1087.7148012298069,109.2541424,23.0552989,230.0
Q2-002,1106.8057103207161,109.2541424,23.0552989,230.0
Q2-002,1125.8966194116251,109.2541424,23.0552989,230.0
Q2-002,1145.3006407706466,109.2541424,23.0552989,288.2120640770645
Q2-002,1164.7046621296683,109.25327374280603,23.053553827979332,293.2289123535156
Q2-002,1184.1086834886898,109.25232316243005,23.051644177971202,293.2289123535156
Q2-002,1203.5127048477113,109.25137258205405,23.04973452796307,293.2289123535156
Q2-002,1222.9167262067328,109.25042200167806,23.04782487795494,293.2289123535156
Q2-002,1242.3207475657546,109.24947142130208,23.04591522794681,293.2289123535156
Q2-002,1261.724768924776,109.24852084092608,23.04400557793868,293.2289123535156
Q2-002,1281.1287902837976,109.24757026055009,23.04209592793055,293.2289123535156
Q2-004,848.0288715381457,109.26977442615242,23.00607443591309,591.9473876953125
Q2-004,867.5500263996717,109.27205424238007,23.005931807192816,591.9473876953125
Q2-004,887.0711812611974,109.2743340586077,23.00578917847254,591.9473876953125
Q2-004,906.5923361227232,109.27661387483535,23.005646549752267,591.9473876953125
Q2-004,926.113490984249,109.27889369106299,23.005503921031995,591.9473876953125
Q2-004,945.6346458457748,109.28117350729063,23.005361292311722,591.9473876953125
Q2-004,965.1558007073006,109.28345332351827,23.005218663591446,591.9473876953125
Q2-004,984.6769555688265,109.2835966,23.0052097,546.2115486152584
