area,model,max_safe_kg,rated_kg,rho,empty_soc_pct,full_soc_pct
S001,A,25.0,25,0.2,74.18809759271677,70.8284885311869
S001,B,30.0,30,0.2,76.74418340237837,68.15128213435277
S001,C,80.0,80,0.2,75.73267372774879,61.478788114411984
S002,A,25.0,25,0.2,39.115761792710046,31.323341891206248
S002,B,30.0,30,0.2,45.3971638539154,25.030941667987726
S002,C,68.86034271679819,80,0.2,42.09471332818763,8.152836077459714
S003,A,25.0,25,0.2,38.024176172330684,29.848239372139695
S003,B,30.0,30,0.2,44.076973134414054,23.389806013302582
S003,C,68.20649054832757,80,0.2,41.95540622026183,7.721253669991867
S004,A,25.0,25,0.2,35.68918019940522,27.405641753329835
S004,B,30.0,30,0.2,42.18600714652096,20.75370496192065
S004,C,63.69695544242859,80,0.2,39.19956290399674,3.5584196531769363
S005,A,25.0,25,0.2,55.81160348562304,50.11318237310889
S005,B,30.0,30,0.2,60.25107277886277,45.542540775123065
S005,C,80.0,80,0.2,58.28826659006322,33.84116994691483
S006,A,25.0,25,0.2,72.80479597040338,69.11732690291281
S006,B,30.0,30,0.2,75.45969143572724,66.248503043294
S006,C,80.0,80,0.2,74.53271137819942,59.33335379779974
S007,A,25.0,25,0.2,60.499543358029186,55.15710099954023
S007,B,30.0,30,0.2,64.24226080336072,51.005608866344986
S007,C,80.0,80,0.2,63.30819112570776,41.50688545985521
S008,A,25.0,25,0.2,33.323538796199024,24.728922789909745
S008,B,28.801233619451523,30,0.2,40.15716555754321,17.82086138540474
S008,C,58.904360961169004,80,0.2,36.70537367940947,-0.47474718785864845
S009,A,25.0,25,0.2,53.012063910954495,46.95887397478601
S009,B,30.0,30,0.2,57.842064218315656,42.09056521174869
S009,C,80.0,80,0.2,55.35779003213279,29.131299633013253
S010,A,25.0,25,0.2,59.416360219308096,53.984390784615584
S010,B,30.0,30,0.2,63.4143343346659,49.72463243779019
S010,C,80.0,80,0.2,61.89997729114407,39.26563588684493
S011,A,25.0,25,0.2,76.05813269181621,72.89752891948469
S011,B,30.0,30,0.2,78.39910375524286,70.40156146774683
S011,C,80.0,80,0.2,77.56964976031996,64.33476349358382
S012,A,25.0,25,0.2,38.40866821577986,30.417665177699316
S012,B,30.0,30,0.2,44.63322366674316,24.026573466920976
S012,C,68.11719339340925,80,0.2,41.76413513986811,7.5207520099056735
S013,A,25.0,25,0.2,59.328211730514745,53.90814530261638
S013,B,30.0,30,0.2,63.40087264083548,49.641218090566454
S013,C,80.0,80,0.2,61.643354341722926,38.856450127050564
S014,A,25.0,25,0.2,52.491459720536795,46.09572041520196
S014,B,30.0,30,0.2,56.951487857319584,41.116911612062935
S014,C,80.0,80,0.2,55.97874559950484,29.902971907831954
S015,A,25.0,25,0.2,48.73753604419594,41.79437956108936
S015,B,30.0,30,0.2,53.746141083136465,36.38898531150421
S015,C,80.0,80,0.2,51.983625842252266,23.33765352071667
