rho,area,model,max_safe_kg
0.23,S003,B,30.0
0.23,S003,C,64.1904745157808
0.23,S004,A,25.0
0.23,S004,B,28.703030529432
0.23,S004,C,59.14560918696225
0.23,S005,A,25.0
0.23,S005,B,30.0
0.23,S005,C,80.0
0.23,S006,A,25.0
0.23,S006,B,30.0
0.23,S006,C,80.0
0.23,S007,A,25.0
0.23,S007,B,30.0
0.23,S007,C,80.0
0.23,S008,A,25.0
0.23,S008,B,26.918469469528645
0.23,S008,C,53.717817375436425
0.23,S009,A,25.0
0.23,S009,B,30.0
0.23,S009,C,80.0
0.23,S010,A,25.0
0.23,S010,B,30.0
0.23,S010,C,80.0
0.23,S011,A,25.0
0.23,S011,B,30.0
0.23,S011,C,80.0
0.23,S012,A,25.0
0.23,S012,B,30.0
0.23,S012,C,64.11950137466192
0.23,S013,A,25.0
0.23,S013,B,30.0
0.23,S013,C,80.0
0.23,S014,A,25.0
0.23,S014,B,30.0
0.23,S014,C,80.0
0.23,S015,A,25.0
0.23,S015,B,30.0
0.23,S015,C,80.0
0.24,S001,A,25.0
0.24,S001,B,30.0
0.24,S001,C,80.0
0.24,S002,A,25.0
0.24,S002,B,30.0
0.24,S002,C,63.531072372570634
0.24,S003,A,25.0
0.24,S003,B,29.64442137395963
0.24,S003,C,62.70849345251918
0.24,S004,A,25.0
0.24,S004,B,28.075087568722665
0.24,S004,C,57.454043719917536
0.24,S005,A,25.0
0.24,S005,B,30.0
0.24,S005,C,80.0
0.24,S006,A,25.0
0.24,S006,B,30.0
0.24,S006,C,80.0
0.24,S007,A,25.0
0.24,S007,B,30.0
0.24,S007,C,80.0
0.24,S008,A,25.0
0.24,S008,B,26.21998904971406
0.24,S008,C,51.774529637768865
0.24,S009,A,25.0
0.24,S009,B,30.0
0.24,S009,C,80.0
0.24,S010,A,25.0
0.24,S010,B,30.0
0.24,S010,C,80.0
0.24,S011,A,25.0
0.24,S011,B,30.0
0.24,S011,C,80.0
0.24,S012,A,25.0
0.24,S012,B,30.0
0.24,S012,C,62.64359007589519
0.24,S013,A,25.0
0.24,S013,B,30.0
0.24,S013,C,80.0
0.24,S014,A,25.0
0.24,S014,B,30.0
0.24,S014,C,80.0
0.24,S015,A,25.0
0.24,S015,B,30.0
0.24,S015,C,79.39798804931343
0.25,S001,A,25.0
0.25,S001,B,30.0
0.25,S001,C,80.0
0.25,S002,A,25.0
0.25,S002,B,30.0
0.25,S002,C,62.015418438240886
0.25,S003,A,25.0
0.25,S003,B,29.036514102481306
0.25,S003,C,61.1445133574307
0.25,S004,A,25.0
0.25,S004,B,27.412114022299647
0.25,S004,C,55.66118702292442
0.25,S005,A,25.0
0.25,S005,B,30.0
0.25,S005,C,80.0
0.25,S006,A,25.0
0.25,S006,B,30.0
0.25,S006,C,80.0
0.25,S007,A,25.0
0.25,S007,B,30.0
0.25,S007,C,80.0
0.25,S008,A,24.562764610163867
0.25,S008,B,25.480502822902054
0.25,S008,C,49.7045857924968
0.25,S009,A,25.0
0.25,S009,B,30.0
0.25,S009,C,80.0
0.25,S010,A,25.0
0.25,S010,B,30.0
0.25,S010,C,80.0
0.25,S011,A,25.0
0.25,S011,B,30.0
0.25,S011,C,80.0
0.25,S012,A,25.0
0.25,S012,B,29.432468384038657
0.25,S012,C,61.08549135737121
0.25,S013,A,25.0
0.25,S013,B,30.0
0.25,S013,C,80.0
0.25,S014,A,25.0
0.25,S014,B,30.0
0.25,S014,C,80.0
0.25,S015,A,25.0
0.25,S015,B,30.0
0.25,S015,C,78.45461159013212
0.26,S001,A,25.0
0.26,S001,B,30.0
0.26,S001,C,80.0
0.26,S002,A,25.0
0.26,S002,B,29.43334645126015
0.26,S002,C,60.41308659128845
0.26,S003,A,25.0
0.26,S003,B,28.3949946728535
0.26,S003,C,59.49113043025136
0.26,S004,A,25.0
0.26,S004,B,26.71089746290818
0.26,S004,C,53.756693629547954
0.26,S005,A,25.0
0.26,S005,B,30.0
0.26,S005,C,80.0
0.26,S006,A,25.0
0.26,S006,B,30.0
0.26,S006,C,80.0
0.26,S007,A,25.0
0.26,S007,B,30.0
0.26,S007,C,80.0
0.26,S008,A,22.86523679504171
0.26,S008,B,24.6959541994147
0.26,S008,C,47.49320459552109
0.26,S009,A,25.0
0.26,S009,B,30.0
0.26,S009,C,80.0
0.26,S010,A,25.0
0.26,S010,B,30.0
0.26,S010,C,80.0
0.26,S011,A,25.0
0.26,S011,B,30.0
0.26,S011,C,80.0
0.26,S012,A,25.0
0.26,S012,B,28.818246284499764
0.26,S012,C,59.4376496784389
0.26,S013,A,25.0
0.26,S013,B,30.0
0.26,S013,C,80.0
0.26,S014,A,25.0
0.26,S014,B,30.0
0.26,S014,C,80.0
0.26,S015,A,25.0
0.26,S015,B,30.0
0.26,S015,C,77.46716436930001
0.27,S001,A,25.0
0.27,S001,B,30.0
0.27,S001,C,80.0
0.27,S002,A,25.0
0.27,S002,B,28.81708749337122
0.27,S002,C,58.715798957273364
0.27,S003,A,25.0
0.27,S003,B,27.716868293937296
0.27,S003,C,57.739936439320445
0.27,S004,A,25.0
0.27,S004,B,25.967782500665635
0.27,S004,C,51.72854560427368
0.27,S005,A,25.0
0.27,S005,B,30.0
0.27,S005,C,80.0
0.27,S006,A,25.0
0.27,S006,B,30.0
0.27,S006,C,80.0
0.27,S007,A,25.0
0.27,S007,B,30.0
0.27,S007,C,80.0
0.27,S008,A,21.017380902776495
0.27,S008,B,23.86166324140504
0.27,S008,C,45.12270690873265
0.27,S009,A,25.0
0.27,S009,B,30.0
0.27,S009,C,80.0
0.27,S010,A,25.0
0.27,S010,B,30.0
0.27,S010,C,80.0
0.27,S011,A,25.0
0.27,S011,B,30.0
0.27,S011,C,80.0
0.27,S012,A,25.0
0.27,S012,B,28.169653262011707
0.27,S012,C,57.6914566475898
0.27,S013,A,25.0
0.27,S013,B,30.0
0.27,S013,C,80.0
0.27,S014,A,25.0
0.27,S014,B,30.0
0.27,S014,C,80.0
0.27,S015,A,25.0
0.27,S015,B,30.0
0.27,S015,C,76.4324520342052
0.28,S001,A,25.0
0.28,S001,B,30.0
0.28,S001,C,80.0
0.28,S002,A,25.0
0.28,S002,B,28.165993876755238
0.28,S002,C,56.91406640224159
0.28,S003,A,25.0
0.28,S003,B,26.99874748941511
0.28,S003,C,55.881320387125015
0.28,S004,A,23.987420735647902
0.28,S004,B,25.178582423832268
0.28,S004,C,49.5626400411129
0.28,S005,A,25.0
0.28,S005,B,30.0
0.28,S005,C,80.0
0.28,S006,A,25.0
0.28,S006,B,30.0
0.28,S006,C,80.0
0.28,S007,A,25.0
0.28,S007,B,30.0
0.28,S007,C,80.0
0.28,S008,A,18.990101740928367
0.28,S008,B,22.972183534875512
0.28,S008,C,42.57160320878029
0.28,S009,A,25.0
0.28,S009,B,30.0
0.28,S009,C,80.0
0.28,S010,A,25.0
0.28,S010,B,30.0
0.28,S010,C,80.0
0.28,S011,A,25.0
0.28,S011,B,30.0
0.28,S011,C,80.0
0.28,S012,A,25.0
0.28,S012,B,27.48355384916067
0.28,S012,C,55.83703680895269
0.28,S013,A,25.0
0.28,S013,B,30.0
0.28,S013,C,80.0
0.28,S014,A,25.0
0.28,S014,B,30.0
0.28,S014,C,80.0
0.28,S015,A,25.0
0.28,S015,B,30.0
0.28,S015,C,75.34695772454143
0.29,S001,A,25.0
0.29,S001,B,30.0
0.29,S001,C,80.0
0.29,S002,A,25.0
0.29,S002,B,27.47683405643329
0.29,S002,C,54.99692764133215
0.29,S003,A,25.0
0.29,S003,B,26.23677893774584
0.29,S003,C,53.90421428717673
0.29,S004,A,22.16479428461753
0.29,S004,B,24.33846613392234
0.29,S004,C,47.24222745746374
0.29,S005,A,25.0
0.29,S005,B,30.0
0.29,S005,C,80.0
0.29,S006,A,25.0
0.29,S006,B,30.0
0.29,S006,C,80.0
0.29,S007,A,25.0
0.29,S007,B,30.0
0.29,S007,C,80.0
0.29,S008,A,16.742561128921807
0.29,S008,B,22.021111564245075
0.29,S008,C,39.81324507854879
0.29,S009,A,25.0
0.29,S009,B,30.0
0.29,S009,C,80.0
0.29,S010,A,25.0
0.29,S010,B,30.0
0.29,S010,C,80.0
0.29,S011,A,25.0
0.29,S011,B,30.0
0.29,S011,C,80.0
0.29,S012,A,25.0
0.29,S012,B,26.756387064233422
0.29,S012,C,53.86297147721052
0.29,S013,A,25.0
0.29,S013,B,30.0
0.29,S013,C,80.0
0.29,S014,A,25.0
0.29,S014,B,30.0
0.29,S014,C,80.0
0.29,S015,A,25.0
0.29,S015,B,30.0
0.29,S015,C,74.20679900795221
0.3,S001,A,25.0
0.3,S001,B,30.0
0.3,S001,C,80.0
0.3,S002,A,25.0
0.3,S002,B,26.745928034652025
0.3,S002,C,52.951608430594206
0.3,S003,A,24.737296666717157
0.3,S003,B,25.42655150173232
0.3,S003,C,51.795761808753014
0.3,S004,A,20.16904230695218
0.3,S004,B,23.441810875665396
0.3,S004,C,44.74712545983493
0.3,S005,A,25.0
0.3,S005,B,30.0
0.3,S005,C,80.0
0.3,S006,A,25.0
0.3,S006,B,30.0
0.3,S006,C,80.0
0.3,S007,A,25.0
0.3,S007,B,30.0
0.3,S007,C,80.0
0.3,S008,A,14.213146170368418
0.3,S008,B,21.000826887320727
0.3,S008,C,36.813741037622094
0.3,S009,A,25.0
0.3,S009,B,30.0
0.3,S009,C,79.15353430435061
0.3,S010,A,25.0
0.3,S010,B,30.0
0.3,S010,C,80.0
0.3,S011,A,25.0
0.3,S011,B,30.0
0.3,S011,C,80.0
0.3,S012,A,25.0
0.3,S012,B,25.984083793591708
0.3,S012,C,51.75593625754118
0.3,S013,A,25.0
0.3,S013,B,30.0
0.3,S013,C,80.0
0.3,S014,A,25.0
0.3,S014,B,30.0
0.3,S014,C,79.90369786508381
0.3,S015,A,25.0
0.3,S015,B,30.0
0.3,S015,C,73.007677430287
0.31,S001,A,25.0
0.31,S001,B,30.0
0.31,S001,C,80.0
0.31,S002,A,25.0
0.31,S002,B,25.96905815647915
0.31,S002,C,50.76306693255901
0.31,S003,A,22.92087235255167
0.31,S003,B,24.5629786234349
0.31,S003,C,49.540876895189285
0.31,S004,A,17.96324416063726
0.31,S004,B,22.482006505597383
0.31,S004,C,42.05258058384061
0.31,S005,A,25.0
0.31,S005,B,30.0
0.31,S005,C,80.0
0.31,S006,A,25.0
0.31,S006,B,30.0
0.31,S006,C,80.0
0.31,S007,A,25.0
0.31,S007,B,30.0
0.31,S007,C,80.0
0.31,S008,A,11.297883308725432
0.31,S008,B,19.90212787874043
0.31,S008,C,33.52854887023568
0.31,S009,A,25.0
0.31,S009,B,30.0
0.31,S009,C,78.13395358622074
0.31,S010,A,25.0
0.31,S010,B,30.0
0.31,S010,C,80.0
0.31,S011,A,25.0
0.31,S011,B,30.0
0.31,S011,C,80.0
0.31,S012,A,23.96798690315336
0.31,S012,B,25.161961892154068
0.31,S012,C,49.500214820727706
0.31,S013,A,25.0
0.31,S013,B,30.0
0.31,S013,C,80.0
0.31,S014,A,25.0
0.31,S014,B,30.0
0.31,S014,C,78.88408930040896
0.31,S015,A,25.0
0.31,S015,B,30.0
0.31,S015,C,71.74481895752251
0.32,S001,A,25.0
0.32,S001,B,30.0
0.32,S001,C,80.0
0.32,S002,A,23.779705801280215
0.32,S002,B,25.141355115920305
0.32,S002,C,48.4133729711175
0.32,S003,A,20.937659218907356
0.32,S003,B,23.640145459212363
0.32,S003,C,47.121641440317035
0.32,S004,A,15.49344991799444
0.32,S004,B,21.451189254876226
0.32,S004,C,39.12755257450044
0.32,S005,A,25.0
0.32,S005,B,30.0
0.32,S005,C,80.0
0.32,S006,A,25.0
0.32,S006,B,30.0
0.32,S006,C,80.0
0.32,S007,A,25.0
0.32,S007,B,30.0
0.32,S007,C,80.0
0.32,S008,A,7.782724738353863
0.32,S008,B,18.713703649118543
0.32,S008,C,29.89648518152535
0.32,S009,A,25.0
0.32,S009,B,30.0
0.32,S009,C,77.06241437233984
0.32,S010,A,25.0
0.32,S010,B,30.0
0.32,S010,C,80.0
0.32,S011,A,25.0
0.32,S011,B,30.0
0.32,S011,C,80.0
0.32,S012,A,22.0682539336849
0.32,S012,B,24.28459073184058
0.32,S012,C,47.077030166983604
0.32,S013,A,25.0
0.32,S013,B,30.0
0.32,S013,C,80.0
0.32,S014,A,25.0
0.32,S014,B,30.0
0.32,S014,C,77.81243475154042
0.32,S015,A,25.0
0.32,S015,B,30.0
0.32,S015,C,70.4129034653306
0.33,S001,A,25.0
0.33,S001,B,30.0
0.33,S001,C,80.0
0.33,S002,A,21.833297749981284
0.33,S002,B,24.25714989658445
0.33,S002,C,45.88083575479686
0.33,S003,A,18.75479855807498
0.33,S003,B,22.651106051634997
0.33,S003,C,44.51645901426673
0.33,S004,A,12.673069536685944
0.33,S004,B,20.339869398158044
0.33,S004,C,35.93199520371854
0.33,S005,A,25.0
0.33,S005,B,30.0
0.33,S005,C,80.0
0.33,S006,A,25.0
0.33,S006,B,30.0
0.33,S006,C,80.0
0.33,S007,A,25.0
0.33,S007,B,30.0
0.33,S007,C,80.0
0.33,S008,A,2.940868108998984
0.33,S008,B,17.421336597763002
0.33,S008,C,25.828118612989783
0.33,S009,A,25.0
0.33,S009,B,30.0
0.33,S009,C,75.93474133871496
0.33,S010,A,25.0
0.33,S010,B,30.0
0.33,S010,C,80.0
0.33,S011,A,25.0
0.33,S011,B,30.0
0.33,S011,C,80.0
0.33,S012,A,19.980597717221826
0.33,S012,B,23.345613037236035
0.33,S012,C,44.46359666995704
0.33,S013,A,25.0
0.33,S013,B,30.0
0.33,S013,C,80.0
0.33,S014,A,25.0
0.33,S014,B,30.0
0.33,S014,C,76.68461889959872
0.33,S015,A,25.0
0.33,S015,B,30.0
0.33,S015,C,69.00598036125302
0.34,S001,A,25.0
0.34,S001,B,30.0
0.34,S001,C,80.0
0.34,S002,A,19.68521370436065
0.34,S002,B,23.309777774848044
0.34,S002,C,43.13873644918203
0.34,S003,A,16.32572489324957
0.34,S003,B,21.587607767432928
0.34,S003,C,41.69882344081998
0.34,S004,A,9.339495556196198
0.34,S004,B,19.136392869986594
0.34,S004,C,32.41226337850094
0.34,S005,A,25.0
0.34,S005,B,30.0
0.34,S005,C,79.83593272976577
0.34,S006,A,25.0
0.34,S006,B,30.0
0.34,S006,C,80.0
0.34,S007,A,25.0
0.34,S007,B,30.0
0.34,S007,C,80.0
0.34,S008,A,
0.34,S008,B,16.006635760422796
0.34,S008,C,21.179934348911047
0.34,S009,A,25.0
0.34,S009,B,30.0
0.34,S009,C,74.74628399126232
0.34,S010,A,25.0
0.34,S010,B,30.0
0.34,S010,C,80.0
0.34,S011,A,25.0
0.34,S011,B,30.0
0.34,S011,C,80.0
0.34,S012,A,17.663006845396012
0.34,S012,B,22.33750546351075
0.34,S012,C,41.63172694854438
0.34,S013,A,25.0
0.34,S013,B,30.0
0.34,S013,C,80.0
0.34,S014,A,25.0
0.34,S014,B,30.0
0.34,S014,C,75.4960739146918
0.34,S015,A,25.0
0.34,S015,B,30.0
0.34,S015,C,67.51736701466143
0.35,S001,A,25.0
0.35,S001,B,30.0
0.35,S001,C,80.0
0.35,S002,A,17.287024756660685
0.35,S002,B,22.29131296975538
0.35,S002,C,40.153408478945494
0.35,S003,A,13.578945474000648
0.35,S003,B,20.439706267789006
0.35,S003,C,38.635449120774865
0.35,S004,A,5.068367870990187
0.35,S004,B,17.82613074174151
0.35,S004,C,28.492678850889206
0.35,S005,A,25.0
0.35,S005,B,30.0
0.35,S005,C,78.77152305096388
0.35,S006,A,25.0
0.35,S006,B,30.0
0.35,S006,C,80.0
0.35,S007,A,25.0
0.35,S007,B,30.0
0.35,S007,C,80.0
0.35,S008,A,
0.35,S008,B,14.444891035091132
0.35,S008,C,15.682762255892158
0.35,S009,A,25.0
0.35,S009,B,30.0
0.35,S009,C,73.491844041273
0.35,S010,A,25.0
0.35,S010,B,30.0
0.35,S010,C,80.0
0.35,S011,A,25.0
0.35,S011,B,30.0
0.35,S011,C,80.0
0.35,S012,A,15.052832971559837
0.35,S012,B,21.251248496118933
0.35,S012,C,38.54569178074598
0.35,S013,A,25.0
0.35,S013,B,30.0
0.35,S013,C,80.0
0.35,S014,A,25.0
0.35,S014,B,30.0
0.35,S014,C,74.24171374179423
0.35,S015,A,25.0
0.35,S015,B,30.0
0.35,S015,C,65.93952540308237
0.36,S001,A,25.0
0.36,S001,B,30.0
0.36,S001,C,80.0
0.36,S002,A,14.564318832708523
0.36,S002,B,21.192199629731476
0.36,S002,C,36.881177201867104
0.36,S003,A,10.389652964659035
0.36,S003,B,19.19520883820951
0.36,S003,C,35.283277332782745
0.36,S004,A,
0.36,S004,B,16.390196119900793
0.36,S004,C,24.058149307966232
0.36,S005,A,25.0
0.36,S005,B,30.0
0.36,S005,C,77.64963936060667
0.36,S006,A,25.0
0.36,S006,B,30.0
0.36,S006,C,80.0
0.36,S007,A,25.0
0.36,S007,B,30.0
0.36,S007,C,80.0
0.36,S008,A,
0.36,S008,B,12.701116665266454
0.36,S008,C,8.637680374085903
0.36,S009,A,25.0
0.36,S009,B,30.0
0.36,S009,C,72.16558828018606
0.36,S010,A,25.0
0.36,S010,B,30.0
0.36,S010,C,80.0
0.36,S011,A,25.0
0.36,S011,B,30.0
0.36,S011,C,80.0
0.36,S012,A,12.046154035488144
0.36,S012,B,20.075857238844037
0.36,S012,C,35.15874524600804
0.36,S013,A,25.0
0.36,S013,B,30.0
0.36,S013,C,80.0
0.36,S014,A,25.0
0.36,S014,B,30.0
0.36,S014,C,72.91585604660213
0.36,S015,A,25.0
0.36,S015,B,30.0
0.36,S015,C,64.263910735026
0.37,S001,A,25.0
0.37,S001,B,30.0
0.37,S001,C,80.0
0.37,S002,A,11.387663625646383
0.37,S002,B,20.000722215045244
0.37,S002,C,33.26315138489008
0.37,S003,A,6.48011738085188
0.37,S003,B,17.838835653383285
0.37,S003,C,31.584347328171134
0.37,S004,A,
0.37,S004,B,14.803278925828636
0.37,S004,C,18.91164210624993
0.37,S005,A,25.0
0.37,S005,B,30.0
0.37,S005,C,76.46539761684835
0.37,S006,A,25.0
0.37,S006,B,30.0
0.37,S006,C,80.0
0.37,S007,A,25.0
0.37,S007,B,30.0
0.37,S007,C,80.0
0.37,S008,A,
0.37,S008,B,10.72184817865491
0.37,S008,C,
0.37,S009,A,25.0
0.37,S009,B,30.0
0.37,S009,C,70.76094329357147
0.37,S010,A,25.0
0.37,S010,B,30.0
0.37,S010,C,80.0
0.37,S011,A,25.0
0.37,S011,B,30.0
0.37,S011,C,80.0
0.37,S012,A,8.43523571966216
0.37,S012,B,18.797689431812614
0.37,S012,C,31.407065289095044
0.37,S013,A,25.0
0.37,S013,B,30.0
0.37,S013,C,80.0
0.37,S014,A,25.0
0.37,S014,B,30.0
0.37,S014,C,71.51212896220386
0.37,S015,A,25.0
0.37,S015,B,29.570693923160434
0.37,S015,C,62.480783676728606
0.38,S001,A,25.0
0.38,S001,B,30.0
0.38,S001,C,80.0
0.38,S002,A,7.47350252349861
0.38,S002,B,18.702215503435582
0.38,S002,C,29.21555840410292
0.38,S003,A,0.3725525632034987
0.38,S003,B,16.350889331661165
0.38,S003,C,27.45618444867432
0.38,S004,A,
0.38,S004,B,13.029671972617507
0.38,S004,C,12.634557317942381
0.38,S005,A,25.0
0.38,S005,B,30.0
0.38,S005,C,75.21332721225917
0.38,S006,A,25.0
0.38,S006,B,30.0
0.38,S006,C,80.0
0.38,S007,A,25.0
0.38,S007,B,30.0
0.38,S007,C,80.0
0.38,S008,A,
0.38,S008,B,8.414872416760772
0.38,S008,C,
0.38,S009,A,25.0
0.38,S009,B,30.0
0.38,S009,C,69.2704669944942
0.38,S010,A,25.0
0.38,S010,B,30.0
0.38,S010,C,80.0
0.38,S011,A,25.0
0.38,S011,B,30.0
0.38,S011,C,80.0
0.38,S012,A,3.572400606935844
0.38,S012,B,17.39937752718106
0.38,S012,C,27.19812899827957
0.38,S013,A,25.0
0.38,S013,B,30.0
0.38,S013,C,80.0
0.38,S014,A,25.0
0.38,S014,B,30.0
0.38,S014,C,70.02335875295103
0.38,S015,A,25.0
0.38,S015,B,28.83146830368787
0.38,S015,C,60.578974317759275
0.39,S001,A,25.0
0.39,S001,B,30.0
0.39,S001,C,80.0
0.39,S002,A,1.5530417207628489
0.39,S002,B,17.277828364167362
0.39,S002,C,24.609522754326463
0.39,S003,A,
0.39,S003,B,14.705001048278064
0.39,S003,C,22.77138251811266
0.39,S004,A,
0.39,S004,B,11.015079708304256
0.39,S004,C,3.6023559607565403
0.39,S005,A,25.0
0.39,S005,B,30.0
0.39,S005,C,73.88727654702961
0.39,S006,A,25.0
0.39,S006,B,30.0
0.39,S006,C,80.0
0.39,S007,A,25.0
0.39,S007,B,30.0
0.39,S007,C,80.0
0.39,S008,A,
0.39,S008,B,5.581379032228142
0.39,S008,C,
0.39,S009,A,25.0
0.39,S009,B,30.0
0.39,S009,C,67.68569068051875
0.39,S010,A,25.0
0.39,S010,B,30.0
0.39,S010,C,80.0
0.39,S011,A,25.0
0.39,S011,B,30.0
0.39,S011,C,80.0
0.39,S012,A,
0.39,S012,B,15.858083821367472
0.39,S012,C,22.385175032541156
0.39,S013,A,25.0
0.39,S013,B,30.0
0.39,S013,C,79.8393006902188
0.39,S014,A,25.0
0.39,S014,B,30.0
0.39,S014,C,68.44143337570131
0.39,S015,A,25.0
0.39,S015,B,28.042680623475462
0.39,S015,C,58.54558126069605
0.4,S001,A,25.0
0.4,S001,B,30.0
0.4,S001,C,80.0
0.4,S002,A,
0.4,S002,B,15.702468948438764
0.4,S002,C,19.220367157831788
0.4,S003,A,
0.4,S003,B,12.863966936711222
0.4,S003,C,17.30510864406824
0.4,S004,A,
0.4,S004,B,8.666543725412339
0.4,S004,C,
0.4,S005,A,25.0
0.4,S005,B,30.0
0.4,S005,C,72.48029868118465
0.4,S006,A,25.0
0.4,S006,B,30.0
0.4,S006,C,80.0
0.4,S007,A,25.0
0.4,S007,B,30.0
0.4,S007,C,80.0
0.4,S008,A,
0.4,S008,B,1.3967101857997477
0.4,S008,C,
0.4,S009,A,25.0
0.4,S009,B,30.0
0.4,S009,C,65.99692232906818
0.4,S010,A,25.0
0.4,S010,B,30.0
0.4,S010,C,79.15462117642164
0.4,S011,A,25.0
0.4,S011,B,30.0
0.4,S011,C,80.0
0.4,S012,A,
0.4,S012,B,14.142430638894439
0.4,S012,C,16.697868453338742
0.4,S013,A,25.0
0.4,S013,B,30.0
0.4,S013,C,78.68350120261312
0.4,S014,A,25.0
0.4,S014,B,30.0
0.4,S014,C,66.75713526085019
0.4,S015,A,25.0
0.4,S015,B,27.198962322436273
0.4,S015,C,56.36558120138943
0.41,S001,A,25.0
0.41,S001,B,30.0
0.41,S001,C,80.0
0.41,S002,A,
0.41,S002,B,13.941108004655689
0.41,S002,C,12.553033828735352
0.41,S003,A,
0.41,S003,B,10.771073726937175
0.41,S003,C,10.544620705768466
0.41,S004,A,
0.41,S004,B,5.786208207719028
0.41,S004,C,
0.41,S005,A,25.0
0.41,S005,B,30.0
0.41,S005,C,70.98451190628111
0.41,S006,A,25.0
0.41,S006,B,30.0
0.41,S006,C,80.0
0.41,S007,A,25.0
0.41,S007,B,30.0
0.41,S007,C,80.0
0.41,S008,A,
0.41,S008,B,
0.41,S008,C,
0.41,S009,A,25.0
0.41,S009,B,30.0
0.41,S009,C,64.19299894943833
0.41,S010,A,25.0
0.41,S010,B,30.0
0.41,S010,C,77.94524447992444
0.41,S011,A,25.0
0.41,S011,B,30.0
0.41,S011,C,80.0
0.41,S012,A,
0.41,S012,B,12.206533269491047
0.41,S012,C,9.460023520514369
0.41,S013,A,25.0
0.41,S013,B,30.0
0.41,S013,C,77.46012292802334
0.41,S014,A,25.0
0.41,S014,B,30.0
0.41,S014,C,64.95993396267295
0.41,S015,A,25.0
0.41,S015,B,26.294082328677177
0.41,S015,C,54.0213122125715
0.42,S001,A,25.0
0.42,S001,B,30.0
0.42,S001,C,80.0
0.42,S002,A,
0.42,S002,B,11.941369632259011
0.42,S002,C,2.299502659589052
0.42,S003,A,
0.42,S003,B,8.328444419894367
0.42,S003,C,
0.42,S004,A,
0.42,S004,B,1.5928896982222795
0.42,S004,C,
0.42,S005,A,25.0
0.42,S005,B,30.0
0.42,S005,C,69.39092793501914
0.42,S006,A,25.0
0.42,S006,B,30.0
0.42,S006,C,80.0
0.42,S007,A,25.0
0.42,S007,B,30.0
0.42,S007,C,79.40782000310719
0.42,S008,A,
0.42,S008,B,
0.42,S008,C,
0.42,S009,A,25.0
0.42,S009,B,30.0
0.42,S009,C,62.26097032427788
0.42,S010,A,25.0
0.42,S010,B,30.0
0.42,S010,C,76.66316712275147
0.42,S011,A,25.0
0.42,S011,B,30.0
0.42,S011,C,80.0
0.42,S012,A,
0.42,S012,B,9.976618280634284
0.42,S012,C,
0.42,S013,A,25.0
0.42,S013,B,30.0
0.42,S013,C,76.16296466439962
0.42,S014,A,25.0
0.42,S014,B,29.307379354722798
0.42,S014,C,63.03772616200149
0.42,S015,A,24.574547173688188
0.42,S015,B,25.320747254882008
0.42,S015,C,51.49177358485758
0.43,S001,A,25.0
0.43,S001,B,30.0
0.43,S001,C,80.0
0.43,S002,A,
0.43,S002,B,9.616134879179299
0.43,S002,C,
0.43,S003,A,
0.43,S003,B,5.322821396403015
0.43,S003,C,
0.43,S004,A,
0.43,S004,B,
0.43,S004,C,
0.43,S005,A,25.0
0.43,S005,B,30.0
0.43,S005,C,67.68923797644675
0.43,S006,A,25.0
0.43,S006,B,30.0
0.43,S006,C,80.0
0.43,S007,A,25.0
0.43,S007,B,30.0
0.43,S007,C,78.1526376772672
0.43,S008,A,
0.43,S008,B,
0.43,S008,C,
0.43,S009,A,25.0
0.43,S009,B,29.3065942148678
0.43,S009,C,60.18568858504295
0.43,S010,A,25.0
0.43,S010,B,30.0
0.43,S010,C,75.30153398402035
0.43,S011,A,25.0
0.43,S011,B,30.0
0.43,S011,C,80.0
0.43,S012,A,
0.43,S012,B,7.313345787115395
0.43,S012,C,
0.43,S013,A,25.0
0.43,S013,B,30.0
0.43,S013,C,74.7850226983428
0.43,S014,A,25.0
0.43,S014,B,28.469765223562717
0.43,S014,C,60.97650461830199
0.43,S015,A,22.37823847681284
0.43,S015,B,24.27033567102626
0.43,S015,C,48.751649716869
0.44,S001,A,25.0
0.44,S001,B,30.0
0.44,S001,C,80.0
0.44,S002,A,
0.44,S002,B,6.790480732452124
0.44,S002,C,
0.44,S003,A,
0.44,S003,B,0.7665605912916362
0.44,S003,C,
0.44,S004,A,
0.44,S004,B,
0.44,S004,C,
0.44,S005,A,25.0
0.44,S005,B,30.0
0.44,S005,C,65.86754329502583
0.44,S006,A,25.0
0.44,S006,B,30.0
0.44,S006,C,80.0
0.44,S007,A,25.0
0.44,S007,B,30.0
0.44,S007,C,76.81904603727162
0.44,S008,A,
0.44,S008,B,
0.44,S008,C,
0.44,S009,A,25.0
0.44,S009,B,28.49179884418845
0.44,S009,C,57.9492655955255
0.44,S010,A,25.0
0.44,S010,B,30.0
0.44,S010,C,73.85257800109684
0.44,S011,A,25.0
0.44,S011,B,30.0
0.44,S011,C,80.0
0.44,S012,A,
0.44,S012,B,3.844446069560945
0.44,S012,C,
0.44,S013,A,25.0
0.44,S013,B,30.0
0.44,S013,C,73.31835163757205
0.44,S014,A,25.0
0.44,S014,B,27.569236373528838
0.44,S014,C,58.75993008725345
0.44,S015,A,19.938277237815782
0.44,S015,B,23.132536013145
0.44,S015,C,45.76990209519863
0.45,S001,A,25.0
0.45,S001,B,30.0
0.45,S001,C,80.0
0.45,S002,A,
0.45,S002,B,2.9102991172112525
0.45,S002,C,
0.45,S003,A,
0.45,S003,B,
0.45,S003,C,
0.45,S004,A,
